year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2022,Georgia,SEC,35.3,1.0,,,26.0,37.2,,,,,,,,,1.0,3.7,,,,,,,,,,1.7
2022,Michigan,Big Ten,32.0,2.0,,,21.0,38.0,,,,,,,,,4.0,7.6,,,,,,,,,,1.6
2022,Ohio State,Big Ten,31.1,3.0,,,4.0,45.1,,,,,,,,,15.0,15.7,,,,,,,,,,1.7
2022,Alabama,SEC,30.3,4.0,,,8.0,42.9,,,,,,,,,12.0,14.2,,,,,,,,,,1.6
2022,Tennessee,SEC,25.2,5.0,,,1.0,47.3,,,,,,,,,40.0,22.6,,,,,,,,,,0.4
2022,TCU,Big 12,24.3,6.0,,,6.0,43.3,,,,,,,,,31.0,20.2,,,,,,,,,,1.2
2022,Texas,SEC,23.1,7.0,,,20.0,38.1,,,,,,,,,14.0,15.6,,,,,,,,,,0.7
2022,Penn State,Big Ten,22.4,8.0,,,28.0,36.6,,,,,,,,,11.0,13.9,,,,,,,,,,-0.3
2022,Kansas State,Big 12,21.4,9.0,,,29.0,36.4,,,,,,,,,15.0,15.7,,,,,,,,,,0.6
2022,Utah,Big 12,19.2,10.0,,,25.0,37.3,,,,,,,,,21.0,17.3,,,,,,,,,,-0.8
2022,Oregon,Big Ten,18.9,11.0,,,5.0,44.9,,,,,,,,,65.0,26.5,,,,,,,,,,0.5
2022,USC,Big Ten,18.9,11.0,,,2.0,46.6,,,,,,,,,63.0,26.3,,,,,,,,,,-1.4
2022,Clemson,ACC,17.6,13.0,,,33.0,34.9,,,,,,,,,26.0,18.5,,,,,,,,,,1.2
2022,LSU,SEC,16.2,14.0,,,37.0,34.2,,,,,,,,,23.0,17.6,,,,,,,,,,-0.5
2022,Ole Miss,SEC,16.2,14.0,,,17.0,38.8,,,,,,,,,44.0,23.7,,,,,,,,,,1.1
