year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2023,Michigan,Big Ten,31.3,1.0,,,12.0,36.6,,,,,,,,,1.0,7.2,,,,,,,,,,1.8
2023,Georgia,SEC,31.2,2.0,,,4.0,41.5,,,,,,,,,5.0,12.2,,,,,,,,,,1.9
2023,Oregon,Big Ten,26.2,3.0,,,1.0,45.0,,,,,,,,,16.0,18.2,,,,,,,,,,-0.5
2023,Ohio State,Big Ten,25.2,4.0,,,34.0,31.5,,,,,,,,,2.0,7.8,,,,,,,,,,1.5
2023,Penn State,Big Ten,23.5,5.0,,,29.0,32.7,,,,,,,,,4.0,10.5,,,,,,,,,,1.3
2023,Texas,SEC,23.2,6.0,,,6.0,39.3,,,,,,,,,12.0,17.7,,,,,,,,,,1.6
2023,Alabama,SEC,23.1,7.0,,,11.0,36.8,,,,,,,,,8.0,15.6,,,,,,,,,,2.0
2023,Notre Dame,FBS Independents,20.1,8.0,,,14.0,36.3,,,,,,,,,10.0,16.7,,,,,,,,,,0.5
2023,Florida State,ACC,19.4,9.0,,,22.0,34.1,,,,,,,,,9.0,16.5,,,,,,,,,,1.8
2023,Missouri,SEC,19.3,10.0,,,13.0,36.5,,,,,,,,,14.0,18.0,,,,,,,,,,0.8
2023,LSU,SEC,19.1,11.0,,,2.0,44.6,,,,,,,,,52.0,25.0,,,,,,,,,,-0.5
2023,Ole Miss,SEC,18.4,12.0,,,14.0,36.3,,,,,,,,,22.0,19.2,,,,,,,,,,1.3
2023,Washington,Big Ten,16.4,13.0,,,5.0,40.3,,,,,,,,,49.0,24.7,,,,,,,,,,0.8
2023,Tennessee,SEC,16.2,14.0,,,18.0,34.9,,,,,,,,,22.0,19.2,,,,,,,,,,0.6
2023,Kansas State,Big 12,16.2,14.0,,,7.0,38.9,,,,,,,,,33.0,21.8,,,,,,,,,,-0.8
2023,Texas A&M,SEC,15.6,16.0,,,20.0,34.5,,,,,,,,,20.0,18.8,,,,,,,,,,-0.1
2023,Oklahoma,SEC,15.0,17.0,,,8.0,38.5,,,,,,,,,38.0,22.6,,,,,,,,,,-1.0
2023,Arizona,Big 12,14.1,18.0,,,9.0,37.3,,,,,,,,,40.0,23.1,,,,,,,,,,-0.2
2023,Oregon State,Pac-12,12.6,19.0,,,26.0,33.2,,,,,,,,,35.0,22.3,,,,,,,,,,1.7
2023,James Madison,Sun Belt,11.8,20.0,,,19.0,34.6,,,,,,,,,43.0,23.7,,,,,,,,,,1.0
