year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2024,Hawai'i,Mountain West,-10.9,107.0,,,108.0,20.9,,,,,,,,,89.0,30.0,,,,,,,,,,-1.8
2024,UAB,American Athletic,-11.3,108.0,,,75.0,25.9,,,,,,,,,126.0,38.0,,,,,,,,,,0.9
2024,Rice,American Athletic,-11.4,109.0,,,110.0,20.5,,,,,,,,,94.0,30.4,,,,,,,,,,-1.4
2024,Louisiana Tech,Conference USA,-11.6,110.0,,,128.0,15.9,,,,,,,,,64.0,26.3,,,,,,,,,,-1.2
2024,Air Force,Mountain West,-11.7,111.0,,,120.0,17.8,,,,,,,,,76.0,27.5,,,,,,,,,,-2.0
2024,Florida International,Conference USA,-12.1,112.0,,,110.0,20.5,,,,,,,,,99.0,31.3,,,,,,,,,,-1.2
2024,Florida Atlantic,American Athletic,-12.7,113.0,,,109.0,20.8,,,,,,,,,104.0,32.1,,,,,,,,,,-1.5
2024,Eastern Michigan,Mid-American,-13.3,114.0,,,110.0,20.5,,,,,,,,,115.0,34.3,,,,,,,,,,0.5
2024,Wyoming,Mountain West,-13.6,115.0,,,127.0,16.3,,,,,,,,,95.0,30.8,,,,,,,,,,0.9
2024,New Mexico,Mountain West,-14.8,116.0,,,64.0,27.6,,,,,,,,,132.0,40.5,,,,,,,,,,-1.9
2024,Nevada,Mountain West,-15.2,117.0,,,106.0,21.0,,,,,,,,,113.0,34.2,,,,,,,,,,-2.0
2024,Charlotte,American Athletic,-15.3,118.0,,,102.0,21.4,,,,,,,,,124.0,37.6,,,,,,,,,,0.9
2024,San Diego State,Mountain West,-15.4,119.0,,,122.0,17.7,,,,,,,,,104.0,32.1,,,,,,,,,,-0.9
2024,Central Michigan,Mid-American,-15.8,120.0,,,122.0,17.7,,,,,,,,,115.0,34.3,,,,,,,,,,0.9
2024,Purdue,Big Ten,-16.2,121.0,,,116.0,19.2,,,,,,,,,110.0,33.6,,,,,,,,,,-1.8
2024,UL Monroe,Sun Belt,-16.7,122.0,,,126.0,16.9,,,,,,,,,106.0,32.5,,,,,,,,,,-1.0
2024,Georgia State,Sun Belt,-17.9,123.0,,,106.0,21.0,,,,,,,,,123.0,37.4,,,,,,,,,,-1.5
2024,Akron,Mid-American,-17.9,123.0,,,129.0,15.7,,,,,,,,,117.0,34.6,,,,,,,,,,1.0
2024,New Mexico State,Conference USA,-19.0,125.0,,,120.0,17.8,,,,,,,,,127.0,38.1,,,,,,,,,,1.3
2024,Ball State,Mid-American,-19.8,126.0,,,103.0,21.3,,,,,,,,,133.0,40.8,,,,,,,,,,-0.3
2024,Temple,American Athletic,-20.3,127.0,,,125.0,17.3,,,,,,,,,125.0,37.8,,,,,,,,,,0.3
2024,Tulsa,American Athletic,-20.6,128.0,,,105.0,21.2,,,,,,,,,129.0,40.3,,,,,,,,,,-1.6
2024,Massachusetts,Mid-American,-21.9,129.0,,,110.0,20.5,,,,,,,,,129.0,40.3,,,,,,,,,,-2.1
2024,UTEP,Conference USA,-22.7,130.0,,,131.0,13.7,,,,,,,,,113.0,34.2,,,,,,,,,,-2.1
2024,Middle Tennessee,Conference USA,-24.4,131.0,,,131.0,13.7,,,,,,,,,122.0,37.3,,,,,,,,,,-0.8
2024,Kennesaw State,Conference USA,-25.1,132.0,,,134.0,10.2,,,,,,,,,118.0,35.1,,,,,,,,,,-0.3
2024,Southern Miss,Sun Belt,-25.6,133.0,,,130.0,14.4,,,,,,,,,128.0,39.4,,,,,,,,,,-0.6
2024,Kent State,Mid-American,-33.0,134.0,,,133.0,12.6,,,,,,,,,134.0,43.8,,,,,,,,,,-1.9
2024,nationalAverages,,0.5522388059701493,,,,,27.144029850746268,,,,,,,,,,26.60970149253731,,,,,,,,,,0.020895522388059702
